ingredient,form,old_bio_score,new_bio_score,delta,old_tier,new_tier,products_using_this_form,prior_evidence_reference,absorption_claim_being_withdrawn,downgrade_reason,clinician_verdict_(11_ok / raise_to / lower_to),clinician_notes
calcium,calcium amino acid chelate,12,11,-1,Excellent,Good,15,NONE,moderate (class-equiv bisglycinate; PK uncertain),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
calcium,calcium bis-glycinate,14,11,-3,Excellent,Good,14,NONE,40%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
lactobacillus_acidophilus,lactobacillus acidophilus la-14,13,11,-2,Excellent,Good,14,NONE,high colonization (~80%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
potassium,potassium gluconate,12,11,-1,Excellent,Good,12,NONE,~90%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
l_arginine,l-arginine hcl,12,11,-1,Excellent,Good,11,NONE,~50-70% at 3-6g doses; ~20% at 10g+ (Tangphao 1999),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
vitamin_e,mixed tocopherols,12,11,-1,Excellent,Good,11,inline PMID/DOI,"full-spectrum natural; α-form retained via α-TTP, β/γ/δ absorbed but rapidly metabolized","No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
psyllium,psyllium (unspecified),12,11,-1,Excellent,Good,10,NONE,category_error (soluble fiber; not systemically absorbed),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
rosemary,rosemary (unspecified),13,11,-2,Excellent,Good,9,NONE,good (rosmarinic + carnosic acid class),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
saccharomyces_boulardii,saccharomyces boulardii (unspecified),12,11,-1,Excellent,Good,9,audit-trail pointer only,good organism-level survivability; strain not specified,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
boron,calcium fructoborate,13,11,-2,Excellent,Good,8,NONE,excellent (>98%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
l_lysine,l-lysine base,12,11,-1,Excellent,Good,8,NONE,~60-80% systemic (same as HCl once dissolved),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
maca,maca (unspecified),12,11,-1,Excellent,Good,8,NONE,good (macamide + glucosinolate class),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
holy_basil,holy basil (unspecified),13,11,-2,Excellent,Good,7,NONE,good (eugenol + ursolic acid class),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
bacillus_subtilis,bacillus subtilis (unspecified),12,11,-1,Excellent,Good,7,audit-trail pointer only,good spore survivability; strain not specified,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
red_wine_extract,red wine extract (unspecified),12,11,-1,Excellent,Good,7,inline PMID/DOI,unknown,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
l_glycine,l-glycine powder,13,11,-2,Excellent,Good,6,NONE,~60-85% (dose-dependent hepatic extraction),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
mct_oil,mct oil c8/c10,13,11,-2,Excellent,Good,6,NONE,excellent (~95%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
vitamin_d,vitamin D3 from lichen,12,11,-1,Excellent,Good,5,inline PMID/DOI,vegan D3; equivalent to animal-derived D3 in 25(OH)D response,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
mct_oil,c10 mct oil (capric acid),13,11,-2,Excellent,Good,4,NONE,excellent (~95%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
vitamin_c,liposomal vitamin C,15,11,-4,Excellent,Good,2,NONE,90-95%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
selenium,selenium glycinate,14,11,-3,Excellent,Good,2,inline PMID/DOI,Albion-patented Se chelate; no published human comparator PK,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
pine_bark_extract,pine bark extract (unspecified),12,11,-1,Excellent,Good,2,inline PMID/DOI,poor (OPC/proanthocyanidin class-poor; <5% F),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
cla,clarinol,13,11,-2,Excellent,Good,1,NONE,excellent (~85%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
nicotinamide_riboside,nicotinamide riboside (unspecified),13,11,-2,Excellent,Good,1,NONE,unknown,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
vitamin_c,potassium ascorbate,13,11,-2,Excellent,Good,1,inline PMID/DOI,"buffered ascorbate salt; dissociates to ascorbate ion, F equivalent to ascorbic acid","No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
alpha_amylase,alpha-amylase enzyme,12,11,-1,Excellent,Good,1,NONE,excellent,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
bifidobacterium_bifidum,bifidobacterium bifidum (unspecified),12,11,-1,Excellent,Good,1,NONE,very good,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
bifidobacterium_longum,bifidobacterium longum (unspecified),12,11,-1,Excellent,Good,1,NONE,very good,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
phosphatidylserine,sunflower phosphatidylserine,12,11,-1,Excellent,Good,1,NONE,good to excellent (well-absorbed; crosses BBB),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
bifidobacterium_longum,bifidobacterium longum 35624,15,11,-4,Excellent,Good,0,NONE,excellent colonization (~90%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
bifidobacterium_longum,bifidobacterium longum bb536,15,11,-4,Excellent,Good,0,NONE,excellent colonization (~90%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
branched_chain_amino_acids,bcaa 2:1:1,15,11,-4,Excellent,Good,0,NONE,excellent,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
branched_chain_amino_acids,bcaa peptides,15,11,-4,Excellent,Good,0,NONE,superior (faster uptake),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
branched_chain_amino_acids,instantized bcaas,15,11,-4,Excellent,Good,0,NONE,excellent (enhanced solubility),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
lactobacillus_acidophilus,lactobacillus acidophilus ncfm,15,11,-4,Excellent,Good,0,NONE,excellent colonization (~90%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
lactobacillus_plantarum,lactobacillus plantarum lp299v,15,11,-4,Excellent,Good,0,NONE,excellent colonization (~90%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
manuka_honey,umf 15+ / mgo 514+,15,11,-4,Excellent,Good,0,inline PMID/DOI,manuka MGO acts locally (oral/GI/wound); not systemically absorbed; grade ≠ F,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
mct_oil,c8 mct oil (pure caprylic),15,11,-4,Excellent,Good,0,NONE,excellent (~98%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
bacillus_coagulans,bacillus coagulans mtcc 5856,14,11,-3,Excellent,Good,0,NONE,excellent survival,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
bacillus_subtilis,bacillus subtilis de111,14,11,-3,Excellent,Good,0,NONE,excellent survival,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
bifidobacterium_breve,bifidobacterium breve m-16v,14,11,-3,Excellent,Good,0,NONE,excellent,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
black_seed_oil,thymoquinone standardized,14,11,-3,Excellent,Good,0,inline PMID/DOI,thymoquinone lipophilic; no human PK published; animal F ~5-15%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
borage_seed_oil,borage seed oil (unspecified),14,11,-3,Excellent,Good,0,NONE,unknown,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
branched_chain_amino_acids,bcaa 4:1:1,14,11,-3,Excellent,Good,0,NONE,excellent,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
calamari_oil,calamari oil phospholipid,14,11,-3,Excellent,Good,0,inline PMID/DOI,calamari PL: DHA-rich; class-equivalent to krill PL; no squid-specific PK,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
citrus_bergamot,bergamot bpf,14,11,-3,Excellent,Good,0,audit-trail pointer only,Bergamot Polyphenolic Fraction; flavonoid class-poor F; clinical lipid RCTs only,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
cod_liver_oil,fermented,14,11,-3,Excellent,Good,0,inline PMID/DOI,TG-class assumed (no human PK); oxidation/rancidity concerns flagged,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
coenzymated_complex,coenzymated,14,11,-3,Excellent,Good,0,audit-trail pointer only,coenzymated B-vitamin complex; active forms dephosphorylated pre-absorption,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
coenzymated_complex,coenzymated complex (unspecified),14,11,-3,Excellent,Good,0,NONE,unknown,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
fish_oil,triglyceride (rTG) form,14,11,-3,Excellent,Good,0,inline PMID/DOI,very high; +24% plasma EPA+DHA rise vs CLO reference (Dyerberg 2010),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
immunoglobulin,immunoglobulin (unspecified),14,11,-3,Excellent,Good,0,NONE,unknown,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
krill_oil,Neptune Krill Oil (NKO),14,11,-3,Excellent,Good,0,inline PMID/DOI,NKO branded: same PL chemistry; F equivalent to fish-TG (Yurko-Mauro 2015),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
krill_oil,Superba Krill (Aker BioMarine),14,11,-3,Excellent,Good,0,inline PMID/DOI,Superba branded: GRAS status ≠ better F; class-equivalent to fish-TG,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
lactobacillus_acidophilus,lactobacillus acidophilus la-5,14,11,-3,Excellent,Good,0,NONE,excellent,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
lactobacillus_reuteri,lactobacillus reuteri ATCC PTA 5289,14,11,-3,Excellent,Good,0,NONE,excellent,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
lactobacillus_reuteri,lactobacillus reuteri rc-14,14,11,-3,Excellent,Good,0,NONE,excellent,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
lactobacillus_rhamnosus,lactobacillus rhamnosus gr-1,14,11,-3,Excellent,Good,0,NONE,excellent,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
lactobacillus_rhamnosus,lactobacillus rhamnosus hn001,14,11,-3,Excellent,Good,0,NONE,excellent,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
probiotics,enteric coated,14,11,-3,Excellent,Good,0,NONE,90%+ survival,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
probiotics,spore-based,14,11,-3,Excellent,Good,0,NONE,excellent survival,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
slippery_elm,standardized extract (mucilage),14,11,-3,Excellent,Good,0,NONE,category_error (mucosal demulcent; not systemically absorbed),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
streptococcus_salivarius,streptococcus salivarius m18,14,11,-3,Excellent,Good,0,NONE,good,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
vitamin_b1_thiamine,thiamine tetrahydrofurfuryl disulfide (TTFD),14,11,-3,Excellent,Good,0,inline PMID/DOI,lipophilic; bypasses thiamine transporter; orally < benfotiamine (Greb 1998),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
vitamin_c,zinc ascorbate,14,11,-3,Excellent,Good,0,inline PMID/DOI,mineral ascorbate; ascorbate ion F equivalent to ascorbic acid; co-delivers zinc,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
vitamin_d,calcidiol (25-hydroxy D3),14,11,-3,Excellent,Good,0,inline PMID/DOI,pre-hydroxylated; raises total 25(OH)D ~1.85x more than equivalent D3 (Shieh 2017),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
bacillus_coagulans,bacillus coagulans snz 1969,13,11,-2,Excellent,Good,0,NONE,excellent survival,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
bacillus_coagulans,bacillus coagulans unique is-2,13,11,-2,Excellent,Good,0,NONE,excellent survival,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
bifidobacterium_bifidum,bifidobacterium bifidum bb-06,13,11,-2,Excellent,Good,0,NONE,high colonization (~80%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
bifidobacterium_bifidum,bifidobacterium bifidum r0071,13,11,-2,Excellent,Good,0,NONE,high colonization (~85%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
bifidobacterium_lactis,bifidobacterium lactis bi-07,13,11,-2,Excellent,Good,0,NONE,very good,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
bifidobacterium_lactis,bifidobacterium lactis bl-04,13,11,-2,Excellent,Good,0,NONE,high colonization (~85%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
calamari_oil,calamari oil (unspecified),13,11,-2,Excellent,Good,0,inline PMID/DOI,form unspecified; default to general marine TG/PL class,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
calamari_oil,calamari oil triglyceride,13,11,-2,Excellent,Good,0,inline PMID/DOI,calamari TG: DHA-rich squid TG; class-equivalent to fish-TG,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
chinese_skullcap,chinese skullcap (unspecified),13,11,-2,Excellent,Good,0,NONE,good (baicalein/baicalin class baseline),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
cla,tonalin,13,11,-2,Excellent,Good,0,NONE,excellent (~85%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
cod_liver_oil,virgin/cold-processed,13,11,-2,Excellent,Good,0,inline PMID/DOI,high; TG-class CLO with low oxidation; preserves natural vitamins A/D,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
creatine_monohydrate,creatine hydrochloride,13,11,-2,Excellent,Good,0,inline PMID/DOI,"higher solubility, same F; no human PK advantage shown (Jäger 2007)","No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
creatine_monohydrate,creatine magnesium chelate,13,11,-2,Excellent,Good,0,inline PMID/DOI,chelate dissociates; F equivalent to monohydrate,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
creatine_monohydrate,creatine nitrate,13,11,-2,Excellent,Good,0,inline PMID/DOI,salt dissociates to creatine ion; F equivalent to monohydrate,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
dha,DHA krill phospholipid,13,11,-2,Excellent,Good,0,inline PMID/DOI,high; krill PL with marginal AUC advantage vs DHA-TG at equal dose,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
epa,EPA krill phospholipid,13,11,-2,Excellent,Good,0,inline PMID/DOI,high; krill PL with marginal AUC advantage vs EPA-TG at equal dose,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
fish_oil,emulsified,13,11,-2,Excellent,Good,0,NONE,very_good (emulsified premium; bypasses lipase needs),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
fish_oil,fish oil phospholipid,13,11,-2,Excellent,Good,0,inline PMID/DOI,high; phospholipid-bound omega-3 with marginal AUC advantage vs TG (Schuchardt 2011),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
hemp_seed_oil,cold-pressed organic,13,11,-2,Excellent,Good,0,inline PMID/DOI,TG hydrolysis by lipase; LA/GLA/ALA F ~80-95% with fat,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
herring_roe_extract,herring roe extract,13,11,-2,Excellent,Good,0,NONE,Excellent phospholipid-bound omega-3 absorption. DHA/EPA in phospholipid form shows superior bioavailability compared to triglyceride fish oil. 40-60% higher plasma incorporation.,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
herring_roe_extract,herring roe extract (unspecified),13,11,-2,Excellent,Good,0,NONE,unknown,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
lactobacillus_acidophilus,lactobacillus acidophilus dds-1,13,11,-2,Excellent,Good,0,inline PMID/DOI,good colonization (~80%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
lactobacillus_casei,lactobacillus casei lc-11,13,11,-2,Excellent,Good,0,NONE,high colonization (~80%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
lactobacillus_casei,lactobacillus casei shirota,13,11,-2,Excellent,Good,0,NONE,high colonization (~85%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
lactobacillus_paracasei,lactobacillus paracasei l.casei 431,13,11,-2,Excellent,Good,0,NONE,very good,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
lactobacillus_paracasei,lactobacillus paracasei lpc-37,13,11,-2,Excellent,Good,0,NONE,high colonization (~85%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
lactobacillus_plantarum,lactobacillus plantarum dr7,13,11,-2,Excellent,Good,0,NONE,high colonization (~85%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
maca,gelatinized maca,13,11,-2,Excellent,Good,0,NONE,"good (~60-75%; gelatinization removes starch, concentrating bioactives and improving digestibility)","No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
manuka_honey,umf 10+ / mgo 263+,13,11,-2,Excellent,Good,0,inline PMID/DOI,manuka MGO acts locally (oral/GI/wound); grade ≠ F,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
organ_extracts,grass-fed desiccated,13,11,-2,Excellent,Good,0,inline PMID/DOI,"composite food; per-nutrient F (heme Fe ~25%, B12 ~50%); score = nutrient density","No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
prebiotics,human milk oligosaccharides (HMO),13,11,-2,Excellent,Good,0,NONE,excellent fermentation,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
probiotics,liposomal probiotics,13,11,-2,Excellent,Good,0,NONE,enhanced,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
quercetin,isoquercetin (EMIQ),13,11,-2,Excellent,Good,0,audit-trail pointer only,EMIQ enzymatically-modified isoquercitrin; SGLT1-mediated; genuinely better F than rutin,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
sea_buckthorn,sea buckthorn seed oil,13,11,-2,Excellent,Good,0,inline PMID/DOI,ALA/LA TG class; ~70-90% F with dietary fat,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
sulforaphane,stabilized sulforaphane,13,11,-2,Excellent,Good,0,inline PMID/DOI,good-to-excellent (~60-80% urinary excretion of metabolites),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
taurine,magnesium taurate (as taurine source),13,11,-2,Excellent,Good,0,NONE,excellent,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
tmg_betaine,liposomal tmg,13,11,-2,Excellent,Good,0,NONE,excellent (TMG already has near-complete oral bioavailability; liposomal adds no demonstrated benefit),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
vitamin_b9_folate,metafolin,13,11,-2,Excellent,Good,0,inline PMID/DOI,calcium salt of L-5-MTHF; AUC ~2× folic acid in humans,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
vitamin_b9_folate,quatrefolic,13,11,-2,Excellent,Good,0,inline PMID/DOI,glucosamine salt of (6S)-5-MTHF; superior PK shown in rats only,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
vitamin_c,magnesium ascorbate,13,11,-2,Excellent,Good,0,NONE,78%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
algae_oil,algae oil (unspecified),12,11,-1,Excellent,Good,0,NONE,very_good (algal omega-3 class baseline),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
astaxanthin,synthetic astaxanthin,12,11,-1,Excellent,Good,0,inline PMID/DOI,variable; equivalent F to natural form when fat-matrixed (no human head-to-head PK),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
bacillus_clausii,bacillus clausii (unspecified),12,11,-1,Excellent,Good,0,audit-trail pointer only,good spore survivability; strain not specified,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
bacillus_indicus,bacillus indicus (unspecified),12,11,-1,Excellent,Good,0,NONE,very good,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
bifidobacterium_lactis,bifidobacterium animalis subsp. lactis,12,11,-1,Excellent,Good,0,NONE,very good,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
bifidobacterium_longum,bifidobacterium longum infantis m-63,12,11,-1,Excellent,Good,0,inline PMID/DOI,live organism; infant gut colonization demonstrated,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
bifidobacterium_longum,bifidobacterium longum subsp. infantis,12,11,-1,Excellent,Good,0,NONE,very good,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
bioflavonoids,hesperidin-rich,12,11,-1,Excellent,Good,0,inline PMID/DOI,hesperidin urinary recovery 4.1-7.9% in humans (Manach 2003),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
black_cohosh,black cohosh standardized extract,12,11,-1,Excellent,Good,0,NONE,low (triterpene standardized; PD-not-PK Crominex pattern),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
black_seed_oil,cold-pressed black seed oil,12,11,-1,Excellent,Good,0,inline PMID/DOI,cold-pressed; lipid matrix may aid slightly; class-poor TQ F,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
